origin,gloss,category
5621,"편찮다,아프다",삶 > 병과 증상
11990,약,삶 > 치료
2722,(존재가)없다,기타
8966,있다,기타
9466,"괜찮다,무방하다",인간 > 감정
6001,"줄이다,감소,절감,축소,줄다",개념 > 양
9525,"주사,접종",삶 > 치료
944,허리,인간 > 신체 부위 및 내부 구성
6934,"계속,연속,이어,내내,-면서,지속",개념 > 시간
7703,"오늘,금일,이번",개념 > 시간
19582,과거,개념 > 시간
7817,(불가능)없다,기타
12408,"가능,할 수 있다",인간 > 능력
12468,"점검,감사,감시,감찰,검토,검사,수사,사찰,조사,살펴보다,살피다",기타
6737,"느끼다,느낌,뉘앙스",인간 > 감정
6556,수술,삶 > 치료
12573,"하나,일,한번",개념 > 수
11006,"들어가다,방문하다,입장",인간 > 신체 행위
11433,"아니다,아니",기타
24036,"아니다,않다",기타
8935,"자연,천연,저절로",기타
9862,"질병,병,병환,질환,앓다",삶 > 병과 증상
2104,"더,게다가,더구나,추가",개념 > 양
8729,"그만,끝,까지,종결,종료,끝나다,마치다",기타
1420,"필요,소용",기타
10419,"먹다,식사",식생활 > 식사 및 조리
7422,"또,그리고,다시",기타
9376,"결과,결말,마지막,최종,최후,결국,드디어,마침내",기타
11077,"사실,정말,진짜,참,맞다,정말로",기타
3762,"걷다,걸음,도보,보행",인간 > 신체 행위
6990,"지금,갓,이제,인제,현재",개념 > 시간
7957,"작다,다소,약간,조금,약소하다,자그마하다,적다,조그마하다",개념 > 모양
7704,"오다,도래",인간 > 신체 행위
7002,안되다,인간 > 감정
4542,"나중,밖,이후,후",개념 > 순서
12618,"시도,해보다,보이다",기타
5084,(기온이)오르다,기타
5655,"몸,동체,몸뚱이,몸체,신체",인간 > 신체 부위 및 내부 구성
6800,"때,경우,시기,시대,시절,무렵,즈음",개념 > 시간
6135,"말,말하다,언어",사회생활 > 언어
24010,병원,기타
6767,"겪다,당하다,-던,-았(-었),적",기타
4145,"주무시다,자다,잠들다,잠자다",삶 > 삶의 행위
11536,"나,내,제",개념 > 인칭
8385,"방법,요령,방식",기타
7363,"다르다,상이하다,딴",개념 > 모양
6196,"붓다,부풀다,부풀리다",기타
3520,불필요,기타
6486,뼈,인간 > 신체 부위 및 내부 구성
6094,"많다,흔하다",개념 > 양
11052,"똑같다,같다,동일하다",기타
2864,"받다,얻다,타다",사회생활 > 사회 활동
11901,"그만,금지,그만두다,금하다,말다,하지 마",기타
8116,"중앙,도중,중,중도",개념 > 위치 및 방향
328,"과,-꾼,전공,똑바로",사회생활 > 직장 생활
8602,"날짜,언제",개념 > 시간
8925,"운동,스포츠,체육",삶 > 여가 생활
4178,"힘들다,벅차다,힘겹다",인간 > 능력
9078,"좋다,선",인간 > 감정
12415,"간혹,가끔,때때로,이따금,종종",개념 > 빈도
11513,"기름,숙달,원활,능숙하다,매끄럽다,미끄럽다,순조롭다,자주,빈번히,낯익다",식생활 > 식재료
11959,"일개월,달",기타
8517,"건강,기력,강건하다,튼튼하다",삶 > 병과 증상
8472,여기,개념 > 지시
6042,신,"의생활 > 모자, 신발, 장신구"
4143,좋다,인간 > 감정
7713,"왜,어째서",개념 > 의문
8608,"강하다,견고하다,굳다,단단하다,딱딱하다",개념 > 성질
6211,"빨강,빨갛다,적자",개념 > 색깔
23922,"그냥,그저",기타
10420,처음,개념 > 순서
9185,"불가능,불능",인간 > 능력
11068,"만,뿐,다만,단지,오로지,오직,한낱",기타
7364,(신체의)다리,인간 > 신체 부위 및 내부 구성
11849,저녁,개념 > 시간
6481,"빼다,깎다,덜다,제하다,배제,감면,빼기,제외,공제,생략,경감",기타
6798,되다,기타
7320,문제,기타
6980,"주세요,주십시오",기타
12172,낫다,개념 > 정도
6241,"생각,견해,사고,신경,의견,의사,의식,여기다",인간 > 인지 행위
12779,"드러눕다,누이다,눕다,눕히다",인간 > 신체 행위
8303,"일주일,이레",개념 > 시간
11514,"기상,일어나다,일어서다,서다,독립",기타
