question_id,stage,sub_category,answer
Q0001,진료개시,greeting,"네, 안녕하세요."
Q0001,진료개시,greeting,"안녕하세요, 처음 왔습니다."
Q0001,진료개시,greeting,"네, 진료 받으러 왔습니다."
Q0001,진료개시,greeting,"안녕하세요, 예약하고 왔어요."
Q0002,진료개시,identity,김민수입니다.
Q0002,진료개시,identity,이영희입니다.
Q0002,진료개시,identity,박준호입니다.
Q0002,진료개시,identity,최수진입니다.
Q0002,진료개시,identity,홍길동입니다.
Q0003,진료개시,chief_complaint,무릎이 아파서 병원에 왔었어요.
Q0003,진료개시,chief_complaint,허리가 아파서 왔어요.
Q0003,진료개시,chief_complaint,다리가 불편해서 왔어요.
Q0003,진료개시,chief_complaint,손가락이 아파서 왔어요.
Q0003,진료개시,chief_complaint,엉치가 아파가지고 왔어요.
Q0003,진료개시,chief_complaint,발 통증이 너무 심해서 왔어요.
Q0003,진료개시,chief_complaint,허리하고 명치가 계속 아파서 왔어요.
Q0003,진료개시,chief_complaint,목이 뻐근해서 왔습니다.
Q0003,진료개시,chief_complaint,무릎이 아파서 왔어요.
Q0003,진료개시,chief_complaint,어깨가 잘 안 올라가서 왔어요.
Q0003,진료개시,chief_complaint,다리가 저려서 왔습니다.
Q0003,진료개시,chief_complaint,엉치가 쑤셔서 왔어요.
Q0003,진료개시,chief_complaint,발바닥이 화끈거려서 왔습니다.
Q0003,진료개시,chief_complaint,손가락이 붓고 아파서 왔어요.
Q0003,진료개시,chief_complaint,대상포진 이후로 통증이 남아서 왔습니다.
Q0003,진료개시,chief_complaint,교통사고 후 허리가 계속 불편해서 왔어요.
Q0003,진료개시,chief_complaint,팔꿈치가 찌릿해서 왔습니다.
Q0003,진료개시,chief_complaint,고개를 돌리면 목이 아파서 왔어요.
Q0003,진료개시,chief_complaint,계단 내려갈 때 무릎이 아파서 왔어요.
Q0003,진료개시,chief_complaint,오래 앉아 있으면 허리가 아파서 왔습니다.
Q0004,진료개시,chief_complaint,무릎이 아파서 병원에 왔었어요.
Q0004,진료개시,chief_complaint,허리가 아파서 왔어요.
