question_id,question,stage,sub_category,answer_count,gloss_origins
Q0001,안녕하세요.,진료개시,greeting,4,
Q0002,성함이 어떻게 되세요?,진료개시,identity,5,
Q0003,오늘 어떻게 오셨어요?,진료개시,chief_complaint,20,7364 944 7284 3752 12255 7703 7256 11467 6934 7223 4542 5621 6635 4302 5468 6929 6726 1183 8966
Q0004,어디가 불편해서 오셨어요?,진료개시,chief_complaint,20,7364 944 7284 3752 12255 8799 11467 6934 7223 4542 5621 6635 4302 5468 6929 6726 1183 8966
Q0005,다른 병원에서 어떤 치료를 받으셨나요?,진료개시,prior_treatment,12,24010 10964 7224 9594 4797 9098 2711 9846
Q0006,(지금) 어디가 제일 아프세요?,통증 부위,location,20,944 7284 3752 7223 5621 213 6990 8799 11852 7364 4322 6036 12035 9650 10313 12255 8622 11004 6486
Q0007,(지금) 어디가 제일 불편하세요?,통증 부위,location,20,944 7284 3752 7223 5621 213 6990 8799 11852 7364 4322 6036 12035 9650 10313 12255 8622 11004 6486
Q0008,[통증 부위]가 제일 아프세요?,통증 부위,location,15,944 11852 4322 5621 6036 7223 12035 7364 9650 10313 12255 8622 11004 6486 4302
Q0009,오른쪽/왼쪽 어디가 주로 아프세요?,통증 부위,location,15,944 11852 4322 6036 12035 8799 908 7223 7364 9650 5621 10313 12255 8622 11004 6486 4302
Q0010,디스크 있던 부위가 제일 아프신가요?,통증 부위,disc_or_muscle,8,11852 6937 3682 944 5275 7284 3752 6556 9079 10454 5621 11931 6737
Q0011,아니면 디스크 주변 근육통으로 아프신가요?,통증 부위,disc_or_muscle,8,6937 3682 944 5275 7284 3752 6556 9079 10454 5621 11931 6737
Q0012,그럼 (통증이) 몇 점이나 되는 거 같으세요?,통증강도,pain_score,12,12674 12397 10137 8944 23962 10919 7828 24029 11311 10696 11055 11315 12707 11233 23841 12528 11237 11404 4408 11419 537 23851 11057 9956 8239 8009 3024 12573 11500 12841
