origin,gloss,category
14363,무릎,인간 > 신체 부위 및 내부 구성
944,허리,인간 > 신체 부위 및 내부 구성
7364,(신체의)다리,인간 > 신체 부위 및 내부 구성
100288,안움직임,인간 > 신체 행위
12028,"엉덩이,궁둥이,볼기,히프",인간 > 신체 부위 및 내부 구성
6042,신,"의생활 > 모자, 신발, 장신구"
500004,명치,인간 > 신체 부위 및 내부 구성
100448,올리다,기타
1519,발가락,인간 > 신체 부위 및 내부 구성
200202,척추뼈,인간 > 신체 부위 및 내부 구성
12397,"칠,일곱",개념 > 수
11055,"다섯,오",개념 > 수
12841,"육,여섯",개념 > 수
12707,"구,아홉",개념 > 수
10919,"십,열",개념 > 수
10493,"참다,견디다,인내,자제,억제",기타
7817,(불가능)없다,기타
19011,역사,기타
5780,불면,기타
6934,"계속,연속,이어,내내,-면서,지속",개념 > 시간
11950,며칠전,삶 > 치료
11959,"일개월,달",기타
6635,교통사고,사회생활 > 교통
8303,"일주일,이레",개념 > 시간
100342,찌릿찌릿,인간 > 감각
10454,"묵직하다,무겁다",개념 > 성질
7491,"뜨겁다,화끈",자연 > 날씨 및 온도
500007,발걸음을 무겁게 옮기다,기타
9650,찌르다,인간 > 신체 행위
8983,진동,기타
500012,욱신욱신,인간 > 감각
9670,"추위,냉각,북,한랭,차다,춥다",자연 > 날씨 및 온도
500009,뻐근하고 당기다,인간 > 감각
3762,"걷다,걸음,도보,보행",인간 > 신체 행위
9351,"가만히,조용하다",인간 > 성격 및 태도
12779,"드러눕다,누이다,눕다,눕히다",인간 > 신체 행위
10419,"먹다,식사",식생활 > 식사 및 조리
7773,씹다,인간 > 신체 행위
8219,어지럽다,인간 > 감각
12776,"두근거리다,불안,설레다,울렁거리다,조마조마하다,두근두근",인간 > 감각
12939,깜짝,인간 > 감각
6196,"붓다,부풀다,부풀리다",기타
14297,두통,인간 > 생리 현상
914,"게우다,구토,토하다",기타
10156,비지땀,기타
500002,기운이 없다,인간 > 생리 현상
11241,"밤,어둡다",기타
11514,"기상,일어나다,일어서다,서다,독립",기타
9466,"괜찮다,무방하다",인간 > 감정
12910,밤낮,개념 > 시간
100336,앉았다가일어나다,인간 > 신체 행위
12723,"날마다,나날,매번,매일,수시,일상,늘,매양,번번이,언제나,항상",기타
23903,오락가락,기타
7094,쥐,동식물 > 동물류
14158,고혈압,삶 > 병과 증상
7367,당뇨병,삶 > 병과 증상
11990,약,삶 > 치료
7390,결핵,삶 > 병과 증상
6785,간,인간 > 신체 부위 및 내부 구성
500016,진단받다,삶 > 병과 증상
7951,심장,인간 > 신체 부위 및 내부 구성
24010,병원,기타
1400,한약,삶 > 치료
24036,"아니다,않다",기타
12053,"양분,영양,영양분,자양분",기타
3810,"관계없다,막론하다,무관하다,상관없다,상관하지 않다",기타
6408,"갈등,마찰,거북하다,껄끄럽다",인간 > 감정
6765,"가렵다,긁다",인간 > 감각
200947,두드러기,인간 > 생리 현상
6749,"담배,흡연",기타
100257,끊다,삶 > 삶의 행위
12573,"하나,일,한번",개념 > 수
6564,"술,알코올",식생활 > 음료
23865,매일,개념 > 시간
7584,금연,기타
24029,"삼,셋",개념 > 수
7792,소주,식생활 > 음료
500006,반병,삶 > 삶의 행위
6556,수술,삶 > 치료
500014,전혀없다,기타
8963,입원,삶 > 치료
15012,척추,인간 > 신체 부위 및 내부 구성
500010,시술,기타
19582,과거,개념 > 시간
500017,했다,기타
9525,"주사,접종",삶 > 치료
100402,둘중하나,기타
23851,"둘,이",개념 > 수
23841,"넷,사",개념 > 수
12528,"넷,사",개념 > 수
11419,"여덟,팔",개념 > 수
10800,심하다,기타
9818,약간,기타
12407,가끔,기타
10833,오래,기타
11871,불,기타
12724,날카롭다,기타
12832,전자,기타
18941,앉다,기타
5361,서다,기타
7138,아침,개념 > 시간
12462,잠들다,기타
10843,온종일,기타
14423,병,기타
9594,치료,삶 > 치료
1214,"공,영",개념 > 수
11057,"둘,이",개념 > 수
11311,"삼,셋",개념 > 수
11315,"아홉,구",개념 > 수
7703,"오늘,금일,이번",개념 > 시간
6990,"지금,갓,이제,인제,현재",개념 > 시간
8602,"날짜,언제",개념 > 시간
5989,"이전,전",기타
11606,며칠,개념 > 시간
11559,"년,해",개념 > 시간
11301,"(시간)시,시간",개념 > 시간
9297,"하루,온종일,종일",개념 > 시간
24028,"시간,한 시간",개념 > 시간
4374,"날,해",개념 > 시간
2652,"월,달",개념 > 시간
9366,"개월,몇 개월",개념 > 시간
